"Monthly-mean 3-d atmosphere data (longitude, latitude, model levels, time:month) ",,,,,,,,,
,,,,,,,,,
CF standard name,Long_name,Output variable name,Units,Scalar dims,Cell Method,Positive Flux Dir.,Min Value,Max Value,Notes
mole_fraction_of_hydrogen_chloride_in_air,HCl Volume Mixing Ratio,vmrhcl,mole mole-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_carbon_monoxide_in_air,CO Volume Mixing Ratio,vmrco,mole mole-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_nitrogen_dioxide_in_air,NO2 Volume Mixing Ratio,vmrno2,mole mole-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_nitrogen_monoxide_in_air,NO Volume Mixing Ratio,vmrno,mole mole-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_ethane_in_air,C2H6 Volume Mixing Ratio,vmrc2h6,mole mole-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_ethyne_in_air,C2H2 Volume Mixing Ratio,vmrc2h2,mole mole-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_hydrogen_cyanide_in_air,HCN Volume Mixing Ratio,vmrhcn,mole mole-1,NA,time: mean,NA,0.0,1.0,
cloud_area_fraction_in_atmosphere_layer,Cloud Area Fraction,cl,%,NA,time: mean,NA,0.0,101.0,Report on model layers (not standard pressures).  Include both large-scale and convective clouds.
convective_cloud_area_fraction_in_atmosphere_layer,Convective Cloud Area Fraction,clc,%,NA,time: mean,NA,0.0,101.0,Report on model layers.  Include only convective cloud fraction.
mole_fraction_of_hydroxyl_radical_in_air,OH Volume Mixing Ratio,vmroh,mole mole-1,NA,time: mean,NA,0.0,1.0,
mass_fraction_of_pm10_ambient_aerosol_in_air,PM10 Mass Mixing Ratio at 50 Percent RH,mmrpm10,kg kg-1,relh50p,time: mean,NA,0.0,1.0,Must include scalar dimension relh50p specifying relative_humidity of 50%
mass_fraction_of_pm2p5_ambient_aerosol_in_air,PM2.5 Mass Mixing Ratio at 50 Percent RH,mmrpm2p5,kg kg-1,relh50p,time: mean,NA,0.0,1.0,Must include scalar dimension relh50p specifying relative_humidity of 50%
mass_fraction_of_pm1_ambient_aerosol_in_air,PM1.0 Mass Mixing Ratio at 50 Percent RH,mmrpm1,kg kg-1,relh50p,time: mean,NA,0.0,1.0,Must include scalar dimension relh50p specifying relative_humidity of 50%
CF25_FAIL tendency_of_mole_concentration_of_O1D_due_to_chemical_gross_production,Chemical Gross Production Rate of O_1D,prodo1d,mole m-3 s-1,NA,time: mean,NA,-1000000.0,1000000.0,proposed name: tendency_of_mole_concentration_of_O1D_by_chemical_gross_production
CF25_FAIL tendency_of_mole_concentration_of_hydroxyl_radical_due_to_chemical_gross_production,Chemical Gross Production Rate of OH,prodoh,mole m-3 s-1,NA,time: mean,NA,-1000000.0,1000000.0,proposed name: tendency_of_mole_concentration_of_hydroxyl_radical_due_to_chemical_gross_production
CF25_FAIL tendency_of_mole_concentration_of_ozone_due_to_chemical_production_by_HO2_plus_NO,Chemical Production Rate of O3 via HO2+NO,prodo3viaho2,mole m-3 s-1,NA,time: mean,NA,-1000000.0,1000000.0,proposed name: tendency_of_mole_concentration_of_ozone_due_to_chemical_production_by_HO2_plus_NO
CF25_FAIL tendency_of_mole_concentration_of_ozone_due_to_chemical_production_by_CH3O2_plus_NO,Chemical Production Rate of O3 via CH3O2+NO,prodo3viach3o2,mole m-3 s-1,NA,time: mean,NA,-1000000.0,1000000.0,proposed name: tendency_of_mole_concentration_of_ozone_due_to_chemical_production_by_CH3O2_plus_NO
CF25_FAIL tendency_of_mole_concentration_of_ozone_due_to_chemical_production_by_RO2_plus_NO,Chemical Production Rate of O3 via RO2+NO,prodo3viaro2,mole m-3 s-1,NA,time: mean,NA,-1000000.0,1000000.0,proposed name: tendency_of_mole_concentration_of_ozone_due_to_chemical_production_by_RO2_plus_NO
CF25_FAIL tendency_of_mole_concentration_of_ozone_due_to_chemical_destruction_by_OH,Chemical Loss Rate of O3 via O3+OH,losso3viaoh,mole m-3 s-1,NA,time: mean,NA,-1000000.0,1000000.0,proposed name: tendency_of_mole_concentration_of_ozone_due_to_chemical_destruction_by_OH
CF25_FAIL tendency_of_mole_concentration_of_ozone_due_to_chemical_destruction_by_HO2,Chemical Loss Rate of O3 via O3+HO2,losso3viaho2,mole m-3 s-1,NA,time: mean,NA,-1000000.0,1000000.0,proposed name: tendency_of_mole_concentration_of_ozone_due_to_chemical_destruction_by_HO2
CF25_FAIL tendency_of_mole_concentration_of_ozone_due_to_chemical_destruction_by_alkenes,Chemical Loss Rate of O3 via O3+alkenes,losso3viaalkenes,mole m-3 s-1,NA,time: mean,NA,-1000000.0,1000000.0,proposed name: tendency_of_mole_concentration_of_ozone_due_to_chemical_destruction_by_alkenes
CF25_FAIL tendency_of_mole_concentration_of_methane_due_to_chemical_gross_destruction,Rate of CH4 Oxidation,lossch4,mole m-3 s-1,NA,time: mean,NA,-1000000.0,1000000.0,proposed name: tendency_of_mole_concentration_of_methane_due_to_chemical_gross_destruction
CF25_FAIL tendency_of_mole_concentration_of_carbon_monoxide_due_to_chemical_gross_destruction,Rate of CO Oxidation,lossco,mole m-3 s-1,NA,time: mean,NA,-1000000.0,1000000.0,proposed name: tendency_of_mole_concentration_of_carbon_monoxide_due_to_chemical_gross_destruction
CF25_FAIL photolysis_rate_of_ozone_to_O1D,Photolysis Rate of O3 to O1D,photo1d,s-1,NA,time: mean,NA,0.0,100.0,proposed name: photolysis_rate_of_ozone_to_O1D
specific_humidity,Specific Humidity,hus,1,NA,time: mean,NA,0.0,1.0,
CF25_FAIL model_level_geometric_thickness,Atmosphere Model Cell Geometric Thickness,dh,m,NA,time: mean,NA,0.0,50000.0,proposed name: model_level_geometric_thickness. (e.g. grid_cell_height)
atmosphere_mass_of_air_per_unit_area,Vertically Integrated Mass Content of Air in Layer,airmass,kg m-2,NA,time: mean,NA,0.0,1000000.0,
mass_fraction_of_water_in_ambient_aerosol_in_air,Aerosol Water Mass Mixing Ratio,mmraerh2o,kg kg-1,NA,time: mean,NA,0.0,1.0,
mass_fraction_of_particulate_organic_matter_dry_aerosol_in_air,POM Mass Mixing Ratio ,mmroa,kg kg-1,NA,time: mean,NA,0.0,1.0,"We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available."
mass_fraction_of_secondary_particulate_organic_matter_dry_aerosol_in_air,SOA Mass Mixing Ratio,mmrsoa,kg kg-1,NA,time: mean,NA,0.0,1.0,
mass_fraction_of_black_carbon_dry_aerosol_in_air,BC Mass Mixing Ratio,mmrbc,kg kg-1,NA,time: mean,NA,0.0,1.0,
atmosphere_updraft_convective_mass_flux,Updraft Convective Mass Flux,mcu,kg m-2 s-1,NA,time: mean,NA,0.0,10000.0,"In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics. The atmosphere convective mass flux is the vertical transport of mass for a field of cumulus clouds or thermals, given by the product of air density and vertical velocity.  For an area-average, cell_methods should specify whether the average is over all the area or the area of updrafts only."
mass_fraction_of_cloud_liquid_water_in_air,Mass Fraction of Cloud Liquid Water,clw,1,NA,time: mean,NA,0.0,1.0,Includes both large-scale and convective cloud. Calculate as the mass of cloud liquid water in the grid cell divided by the mass of air (including the water in all phases) in the grid cells.  Precipitating hydrometeors are included ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.
mass_fraction_of_cloud_ice_in_air,Mass Fraction of Cloud Ice,cli,1,NA,time: mean,NA,0.0,1.0,Includes both large-scale and convective cloud. This is calculated as the mass of cloud ice in the grid cell divided by the mass of air (including the water in all phases) in the grid cell.  It includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.
mass_fraction_of_sulfate_dry_aerosol_in_air,Aerosol Sulfate Mass Mixing Ratio,mmraerso4,kg kg-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_sulfur_dioxide_in_air,SO2 Volume Mixing Ratio,vmrso2,mole mole-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_isoprene_in_air,Isoprene Volume Mixing Ratio,vmrisop,mole mole-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_formaldehyde_in_air,CH2O Volume Mixing Ratio,vmrch2o,mole mole-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_dimethyl_sulfide_in_air,DMS Volume Mixing Ratio,vmrdms,mole mole-1,NA,time: mean,NA,0.0,1.0,
CF25_FAIL tendency_of_atmosphere_mass_content_of_nox_expressed_as_nitrogen_due_to_lightning,Layer-Integrated Lightning Production of NOx,emilnox,kg m-2 s-1,NA,time: mean,NA,0.0,10000.0,Integrate the NOx production for lightning over model layer.  Express as mass of nitrogen.
CF25_FAIL tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_gas_phase_net_chemical_production,Gas-Phase Production Rate of SO4,chegpso4,kg m-2 s-1,NA,time: mean,NA,-10000.0,10000.0,proposed name: tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_gas_phase_net_chemical_production
CF25_FAIL tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_aqueous_phase_net_chemical_production,Aqueous-Phase Production Rate of SO4,cheaqpso4,kg m-2 s-1,NA,time: mean,NA,-10000.0,10000.0,proposed name: tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_aqueous_phase_net_chemical_production
CF25_FAIL tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_aqueous_phase_net_chemical_production_by_Siv_plus_H2O2,Aqueous-Phase Production Rate of SO4 via S(iv)+H2O2,cheaqph2o2so4,kg m-2 s-1,NA,time: mean,NA,-10000.0,10000.0,proposed name: tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_aqueous_phase_net_chemical_production_by_Siv_plus_H2O2
CF25_FAIL tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_aqueous_phase_net_chemical_production_by_Siv_plus_O3,Aqueous-Phase Production Rate of SO4 via S(iv)+O3,cheaqpo3so4,kg m-2 s-1,NA,time: mean,NA,-10000.0,10000.0,proposed name: tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_aqueous_phase_net_chemical_production_by_Siv_plus_O3
mass_fraction_of_nitrate_dry_aerosol_in_air,NO3 Aerosol Mass Mixing Ratio,mmraerno3,kg kg-1,NA,time: mean,NA,0.0,1.0,
mass_fraction_of_ammonium_dry_aerosol_in_air,NH4 Mass Mixing Ratio ,mmraernh4,kg kg-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_nitric_acid_in_air,HNO3 Volume Mixing Ratio,vmrhno3,mole mole-1,NA,time: mean,NA,0.0,1.0,
mole_fraction_of_peroxyacetyl_nitrate_in_air,PAN Volume Mixing Ratio,vmrpan,mole mole-1,NA,time: mean,NA,0.0,1.0,
mass_fraction_of_seasalt_dry_aerosol_in_air,Sea Salt Mass Mixing Ratio,mmrss,kg kg-1,NA,time: mean,NA,0.0,1.0,
mass_fraction_of_dust_dry_aerosol_in_air,Dust Aerosol Mass Mixing Ratio,mmrdust,kg kg-1,NA,time: mean,NA,0.0,1.0,
CF25_FAIL tendency_of_atmosphere_mass_content_of_ozone_due_to_chemistry,Layer-Integrated Net Chemistry Tendency of O3,do3chm,kg m-2 s-1,NA,time: mean,NA,-10000.0,10000.0,Calculated as the O3 mass after the chemistry operator less the O3 mass before the chemistry operator excluding surface deposition
CF25_FAIL mole_fraction_of_specified_nh-5_tracer_in_air,nh_5 Volume Mixing Ratio,vmrnh5,mole mole-1,NA,time: mean,NA,0.0,1.0,"Fixed surface layer mixing ratio over latitudes 30-50N (100ppbv), uniform fixed 5-day exponential decay (e-folding time=4.32x105s)."
CF25_FAIL mole_fraction_of_specified_nh-50_tracer_in_air,nh_50 Volume Mixing Ratio,vmrnh50,mole mole-1,NA,time: mean,NA,0.0,1.0,"Fixed surface layer mixing ratio over latitudes 30-50N (100ppbv), uniform fixed 50-day exponential decay."
CF25_FAIL mole_fraction_of_specified_nh-50w_tracer_in_air,nh_50w Volume Mixing Ratio,vmrnh50w,mole mole-1,NA,time: mean,NA,0.0,1.0,"Fixed surface layer mixing ratio over latitudes 30-50N (100ppbv), uniform fixed 50-day exponential decay, wet removal as  HNO3."
CF25_FAIL mole_fraction_of_specified_aoa-nh_tracer_in_air,aoa_nh Volume Mixing Ratio,vmraoanh,year,NA,time: mean,NA,0.0,1000000.0,"Fixed surface layer mixing ratio over latitudes 30-50N (0 ppbv), uniform fixed source (at all levels) everywhere else.  (source is unspecified but must be constant in space and time and documented). Note that the source could be 1yr/yr, so the tracer concentration provides mean age in years.  For method using linearly increasing tracer include a method attribute: 'linearly increasing tracer'.  For method using uniform source (1yr/yr) include a method attribute: 'uniform source'.  For details see website: XXXXX"
CF25_FAIL mole_fraction_of_specified_st80-25_tracer_in_air,st80_25 Volume Mixing Ratio,vmrst8025,mole mole-1,NA,time: mean,NA,0.0,1.0,"Fixed mixing ratio above 80hPa (200ppbv), uniform fixed 25-day exponential decay in the troposphere only."
CF25_FAIL mole_fraction_of_specified_co-25_tracer_in_air,co_25 Volume Mixing Ratio,vmrco25,mole mole-1,NA,time: mean,NA,0.0,1.0,"Emitted as anthropogenic CO (emission file available from HTAP, ftp://ftp.retro.enes.org/pub/emissions/aggregated/anthro/0.5x0.5/2000/RETRO_ANTHRO_V2_2000_CO_aggregated.nc but only use annual mean), uniform fixed 25-day exponential decay."
CF25_FAIL mole_fraction_of_specified_co-50_tracer_in_air,co_50 Volume Mixing Ratio,vmrco50,mole mole-1,NA,time: mean,NA,0.0,1.0,"emitted as anthropogenic CO (emission file available from HTAP), uniform fixed 50-day exponential decay."
CF25_FAIL mole_fraction_of_specified_co-50ea_tracer_in_air,co_50_ea Volume Mixing Ratio,vmrco50ea,mole mole-1,NA,time: mean,NA,0.0,1.0,"emitted as anthropogenic CO over East Asia (15N-50N; 95E-160E),  (emission file available from HTAP), uniform fixed 50-day exponential decay."
CF25_FAIL mole_fraction_of_specified_co-50na_tracer_in_air,co_50_na Volume Mixing Ratio,vmrco50na,mole mole-1,NA,time: mean,NA,0.0,1.0,"emitted as anthropogenic CO over North America (15N-55N; 60W-125W) (emission file available from HTAP), uniform fixed 50-day exponential decay."
CF25_FAIL mole_fraction_of_specified_co-50eu_tracer_in_air,co_50_eu Volume Mixing Ratio,vmrco50eu,mole mole-1,NA,time: mean,NA,0.0,1.0,"emitted as anthropogenic CO over Europe (25N-65N; 10W-50E) (emission file available from HTAP), uniform fixed 50-day exponential decay."
CF25_FAIL mole_fraction_of_specified_co-50sa_tracer_in_air,co_50_sa Volume Mixing Ratio,vmrco50sa,mole mole-1,NA,time: mean,NA,0.0,1.0,"emitted as anthropogenic CO over South Asia (5N-35N; 50E-95E) (emission file available from HTAP), uniform fixed 50-day exponential decay."
CF25_FAIL mole_fraction_of_specified_so2t_tracer_in_air,so2t Volume Mixing Ratio,vmrso2t,mole mole-1,NA,time: mean,NA,0.0,1.0,"emitted as anthropogenic year 2000 SO2 (as specified in REF-C1, wet removal as SO2."
CF25_FAIL mole_fraction_of_stratospheric_ozone_tracer_in_air,o3s Volume Mixing Ratio,vmro3s,mole mole-1,NA,time: mean,NA,0.0,1.0,"Stratospheric ozone tracer set to ozone in the stratosphere, then destroyed in the troposphere using the ozone chemical loss rate. Specify the tropopause definition."
CF25_FAIL mole_fraction_of_specified_SF6_in_air,SF6 Volume Mixing Ratio,vmrsf6,mole mole-1,NA,time: mean,NA,0.0,1.0,Specified using emissions from http://edgar.jrc.ec.europa.eu/datasets_grid_list.php#d. Note that these emissions are available only as annual averages (1970-2008; emissions before 1970 should be set to 0 while emissions after 2008 should be kept at their 2008 level). Monthly emissions should be built using the available annual file and assigning the value as representative of July 15. Special care should be made that the annual global integral at the model resolution matches the EDGAR generated total (available as argument from the netCDF v42 files)
age_of_stratospheric_air,Alternate Stratospheric Age of Air,altaoa,year,NA,time: mean,NA,0.0,50.0,Stratospheric mean age-of-air. Use existing implementation or implement the same as AOA_NH except fixed surface layer mixing ratio is set to 0ppbv over the surface of the whole globe.  For method using linearly increasing tracer include a method attribute: 'linearly increasing tracer'.  For method using uniform source (1yr/yr) include a method attribute: 'uniform source'.  For details see website XXXXX
CF25_FAIL tendency_of_mole_concentration_of_ozone_due_to_chemical_production,O3 Production Rate,o3prod,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,ONLY provide the sum of all the HO2/RO2 + NO reactions (as k*[HO2]*[NO])
CF25_FAIL tendency_of_mole_concentration_of_ozone_due_to_chemical_loss,O3 Destruction Rate,o3loss,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,"ONLY provide the sum of the following reactions: (i) O(1D)+H2O; (ii) O3+HO2; (iii) O3+OH; (iv) O3+alkenes (isoprene, ethene,...)"
CF25_FAIL photolysis_rate_of_NO2,Photolysis Rate of NO2,jno2,s-1,NA,time: mean,NA,0.0,100.0,
CF25_FAIL rate_of_o1d_reaction_with_h2o,Rate of O1D+H2O,losso1dviah2o,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,3-d distribution of k*[O1D]*[H2O]
CF25_FAIL total_rate_of_hydroxyl_loss_reactions,Total Loss of OH,ohloss,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,rate of OH loss from all reactions
CF25_FAIL rate_of_h2o2_production_from_ho2_self_reaction,Production Rate of H2O2,prodh2o2viaho2,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,3-d distribution of k*[HO2]*[HO2]
CF25_FAIL rate_of_hno3_production_from_hydroxyl_reaction_with_no2,Production Rate of HNO3,prodhno3viano2oh,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,3-d distritbution of HNO3 production from NO2+OH (all channels)
CF25_FAIL chemical_production_rate_of_all_peroxides,Production Rate of all Hydrogen Peroxides,prodhpx,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,Summed 3-d distritbution of production rate of H2O2 and ROOH
CF25_FAIL chemical_loss_rate_of_n2o5_by_heterogeneous_reactions,Aerosol Reactions Rates as Separate Diagnostics,hno3hetprod,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,"as an example, the MOZART reactions are listed, N2O5 -> 2HNO3, NO3 -> HNO3, NO2 -> 0.5*OH + 0.5*NO + 0.5*HNO3, HO2 -> 0.5*H2O2"
CF25_FAIL reaction_rate_of_hydroxyl_reaction_with_so2,Reaction Rate of SO2+OH,lossso2viaoh,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,
CF25_FAIL total_reaction_rate_of_no_with_peroxy_radicals,Reaction Rate of RO2+NO,lossro2viano,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,"This is sum of prodo3viaho2, prodo3viach3o2 and prodo3viaro2"
CF25_FAIL reaction_rate_of_no3_with_peroxy_radicals,Reaction Rate of RO2+NO3,lossro2viano3,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,3-d distribution of sum of RO2+NO3 reaction fluxes. R refers to the organic peroxy radical pool.
CF25_FAIL reaction_rate_of_peroxy_radicals_with_ho2,Reaction Rate of RO2+HO2,lossro2viaho2,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,"3-d distribution of RO2+HO2 reaction fluxes. Similar to prodhpx, but without HO2+HO2. R refers to the organic peroxy radical pool."
CF25_FAIL total_reaction_rate_of_peroxy_radical_self_reaction,Reaction Rate of RO2+RO2,lossro2viaro2,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,3-d distribution of RO2+RO2 reaction fluxes. R refers to the organic peroxy radical pool.
CF25_FAIL total_reaction_rate_of_no2_with_peroxyacyl_radicals,Reaction Rate of RC(O)O2+NO2,lossrcoo2viano2,mole m-3 s-1,NA,time: mean,NA,0.0,1000000.0,3-d distribution of RC(O)O2+NO2 reaction fluxes (e.g. PAN production). R refers to the organic peroxy radical pool.
tendency_of_air_temperature_due_to_model_physics,Tendency of Air Temperature due to Diabatic Processes,tntmp,K s-1,NA,time: mean,NA,-1000.0,1000.0,All physics
mole_fraction_of_hcc140a_in_air,CH3CCl3 Volume Mixing Ratio,vmrch3ccl3,mole mole-1,NA,time: mean,NA,0.0,1.0,for the period 1980-2011 by ACTM.
mole_fraction_of_aceto_nitrile_in_air,CH3CN Volume Mixing Ratio,vmrch3cn,mole mole-1,NA,time: mean,NA,0.0,1.0,
CF25_FAIL mole_fraction_of_specified_o3ste_tracer_in_air,O3ste Volume Mixing Ratio,vmro3ste,mole mole-1,NA,time: mean,NA,0.0,1.0,"Ozone tracer intended to map out STE of ozone:  (a) set o3ste to O3 at top layer; (b) use standard O3 P-L terms to change o3ste every chemistry time step for 'stratospheric' air grid boxes; (c) reset o3ste to O3 in the lowermost layers (fix these layers to be up to sigma=0.9, ~1 km altitude) and record this tropospheric reset only as a 2-D (lat,long) monthly mean tendency (Tg/s or Tg per month pergird cell).  Determine 'statropsheric' air in any way that is most convenient (e90, O3, PV-theta, etc)."
CF25_FAIL mole_fraction_of_specified_e90_tracer_in_air,e90 Volume Mixing Ratio,vmre90,mole mole-1,NA,time: mean,NA,0.0,1.0,"Synthetic tracer e90 has 90-day e-fold everywhere; emitted uniformly (g/m2) over all land/ocean/ice; see Prather et al. 2011 JGR 116, D04306, doi:10.1029/2010JD014939; any normalization can be used if defined, but UCI chooses: mol.wt = 28.97(dry air), emissions = 2074 Tg/y (kg/m2/s) , thus steady-state mean mole fraction = 100 ppb (for ECMWF dry air mass)."
CF25_FAIL mole_fraction_of_specified_e90n_tracer_in_air,e90n Volume Mixing Ratio,vmre90n,mole mole-1,NA,time: mean,NA,0.0,1.0,"Synthetic tracer e90n, same as e90, but emitted only 40N to 90N."
CF25_FAIL mole_fraction_of_specified_e90s_tracer_in_air,e90s Volume Mixing Ratio,vmre90s,mole mole-1,NA,time: mean,NA,0.0,1.0,"Synthetic tracer e90s, same as e90, but emitted only 40S to 90S."
