Annual-mean 0-d atmosphere or land surface data on a certain pressure level (time:year),,,,,,,,,
,,,,,,,,,
CF standard name,Long_name,Output variable name,Units,Scalar dims,Cell Method,Positive Flux Dir.,Min Value,Max Value,Notes
CF25_FAIL tendency_of_middle_atmosphere_moles_of_hcfc22,Tendency of Middle Atmosphere Burden of CHClF2,chclf2smtbrdn,moles yr-1,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly averaged stratospheric and mesospheric loss
atmosphere_moles_of_hcfc141b,Atmospheric Burden of CH3CCl2F,ch3ccl2fbrdn,moles,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly average burden
tendency_of_atmosphere_moles_of_hcfc141b,Tendency of Atmospheric Burden of CH3CCl2F,ch3ccl2ftbrdn,moles yr-1,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly averaged atmospheric loss
CF25_FAIL tendency_of_troposphere_moles_of_hcfc141b,Tendency of Tropospheric Burden of CH3CCl2F,ch3ccl2ftrtbrdn,moles yr-1,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly averaged tropospheric loss
CF25_FAIL tendency_of_middle_atmosphere_moles_of_hcfc141b,Tendency of Middle Atmosphere Burden of CH3CCl2F,ch3ccl2fsmtbrdn,moles yr-1,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly averaged stratospheric and mesospheric loss
atmosphere_moles_of_hcfc142b,Atmospheric Burden of CH3CClF2,ch3cclf2brdn,moles,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly average burden
tendency_of_atmosphere_moles_of_hcfc142b,Tendency of Atmospheric Burden of CH3CClF2,ch3cclf2tbrdn,moles yr-1,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly averaged atmospheric loss
CF25_FAIL tendency_of_troposphere_moles_of_hcfc142b,Tendency of Tropospheric Burden of CH3CClF2,ch3cclf2trtbrdn,moles yr-1,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly averaged tropospheric loss
CF25_FAIL tendency_of_middle_atmosphere_moles_of_hcfc142b,Tendency of Middle Atmosphere Burden of CH3CClF2,ch3cclf2smtbrdn,moles yr-1,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly averaged stratospheric and mesospheric loss
CF25_FAIL atmosphere_moles_of_hfc134a,Atmospheric Burden of CH2FCF3,ch2fcf3brdn,moles,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly average burden
CF25_FAIL tendency_of_atmosphere_moles_of_hfc134a,Tendency of Atmospheric Burden of CH2FCF3,ch2fcf3tbrdn,moles yr-1,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly averaged atmospheric loss
CF25_FAIL tendency_of_troposphere_moles_of_hfc134a,Tendency of Tropospheric Burden of CH2FCF3,ch2fcf3trtbrdn,moles yr-1,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly averaged tropospheric loss
CF25_FAIL tendency_of_middle_atmosphere_moles_of_hfc134a,Tendency of Middle Atmosphere Burden of CH2FCF3,ch2fcf3smtbrdn,moles yr-1,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly averaged stratospheric and mesospheric loss
CF25_FAIL atmosphere_moles_of_hcfc123,Atmospheric Burden of C2HF3Cl2,c2hf3cl2brdn,moles,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly average burden
CF25_FAIL tendency_of_atmosphere_moles_of_hcfc123,Tendency of Atmospheric Burden of C2HF3Cl2,c2hf3cl2tbrdn,moles yr-1,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly averaged atmospheric loss
CF25_FAIL tendency_of_troposphere_moles_of_hcfc123,Tendency of Tropospheric Burden of C2HF3Cl2,c2hf3cl2trtbrdn,moles yr-1,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly averaged tropospheric loss
CF25_FAIL tendency_of_middle_atmosphere_moles_of_hcfc123,Tendency of Middle Atmosphere Burden of C2HF3Cl2,c2hf3cl2smtbrdn,moles yr-1,NA,time: mean area: sum,NA,0.0,1.00E+16,total yearly averaged stratospheric and mesospheric loss
